Date,Machine,Shift,Units_Produced,Defects,Downtime_Min,Yield
2025-05-06 04:00:00,M01,Night,72,1,26,98.61111111111111
2025-05-06 05:00:00,M04,Night,106,4,6,96.22641509433963
2025-05-06 06:00:00,M02,Night,175,1,51,99.42857142857143
2025-05-06 07:00:00,M01,Night,136,2,7,98.52941176470588
2025-05-06 08:00:00,M04,Day,80,5,7,93.75
2025-05-06 09:00:00,M04,Night,113,0,22,100.0
2025-05-06 10:00:00,M04,Day,82,5,31,93.90243902439023
2025-05-06 11:00:00,M01,Day,51,2,42,96.07843137254902
2025-05-06 12:00:00,M01,Night,67,6,46,91.04477611940298
2025-05-06 13:00:00,M01,Night,133,1,17,99.24812030075188
2025-05-06 14:00:00,M03,Day,84,5,37,94.04761904761905
2025-05-06 15:00:00,M01,Day,163,7,53,95.70552147239265
2025-05-06 16:00:00,M01,Night,195,0,11,100.0
2025-05-06 17:00:00,M01,Day,159,8,14,94.9685534591195
2025-05-06 18:00:00,M03,Night,137,4,27,97.08029197080292
2025-05-06 19:00:00,M01,Night,121,4,54,96.69421487603306
2025-05-06 20:00:00,M04,Night,174,4,37,97.70114942528735
2025-05-06 21:00:00,M01,Day,79,5,49,93.67088607594937
2025-05-06 22:00:00,M04,Day,102,1,55,99.01960784313727
2025-05-06 23:00:00,M04,Night,187,5,30,97.32620320855615
2025-05-07 00:00:00,M04,Day,136,3,51,97.79411764705883
2025-05-07 01:00:00,M03,Day,188,7,8,96.27659574468085
2025-05-07 02:00:00,M03,Day,62,8,7,87.09677419354838
2025-05-07 03:00:00,M03,Day,89,8,45,91.01123595505618
2025-05-07 04:00:00,M01,Day,138,7,18,94.92753623188406
2025-05-07 05:00:00,M04,Day,117,2,50,98.29059829059828
2025-05-07 06:00:00,M03,Day,91,9,7,90.10989010989012
2025-05-07 07:00:00,M03,Night,196,3,33,98.46938775510205
2025-05-07 08:00:00,M01,Day,143,0,56,100.0
2025-05-07 09:00:00,M03,Day,68,8,3,88.23529411764706
2025-05-07 10:00:00,M01,Day,72,4,30,94.44444444444444
2025-05-07 11:00:00,M02,Day,103,5,37,95.14563106796116
2025-05-07 12:00:00,M03,Day,114,2,2,98.24561403508771
2025-05-07 13:00:00,M02,Day,189,9,34,95.23809523809523
2025-05-07 14:00:00,M01,Day,73,7,18,90.41095890410958
2025-05-07 15:00:00,M04,Day,83,6,42,92.7710843373494
2025-05-07 16:00:00,M03,Night,102,0,28,100.0
2025-05-07 17:00:00,M01,Day,185,9,9,95.13513513513514
2025-05-07 18:00:00,M04,Day,67,4,11,94.02985074626866
2025-05-07 19:00:00,M04,Day,106,9,45,91.50943396226415
2025-05-07 20:00:00,M02,Day,161,8,29,95.03105590062113
2025-05-07 21:00:00,M01,Night,54,5,29,90.74074074074075
2025-05-07 22:00:00,M04,Night,62,7,59,88.70967741935483
2025-05-07 23:00:00,M03,Night,132,9,17,93.18181818181817
2025-05-08 00:00:00,M03,Night,78,0,23,100.0
2025-05-08 01:00:00,M02,Night,52,9,31,82.6923076923077
2025-05-08 02:00:00,M04,Night,139,6,8,95.68345323741008
2025-05-08 03:00:00,M01,Night,153,2,46,98.69281045751634
2025-05-08 04:00:00,M03,Night,172,8,23,95.34883720930233
2025-05-08 05:00:00,M04,Night,125,5,25,96.0
2025-05-08 06:00:00,M04,Night,179,4,2,97.76536312849163
2025-05-08 07:00:00,M02,Night,157,7,22,95.54140127388536
2025-05-08 08:00:00,M03,Night,131,7,10,94.65648854961832
2025-05-08 09:00:00,M03,Night,126,2,9,98.4126984126984
2025-05-08 10:00:00,M01,Night,51,1,49,98.0392156862745
2025-05-08 11:00:00,M03,Night,176,1,35,99.43181818181817
2025-05-08 12:00:00,M01,Night,184,4,59,97.82608695652173
2025-05-08 13:00:00,M03,Day,75,9,12,88.0
2025-05-08 14:00:00,M02,Night,137,6,28,95.62043795620438
2025-05-08 15:00:00,M03,Day,65,7,37,89.23076923076924
2025-05-08 16:00:00,M01,Night,122,9,58,92.62295081967213
2025-05-08 17:00:00,M01,Night,81,7,52,91.35802469135803
2025-05-08 18:00:00,M02,Day,64,7,12,89.0625
2025-05-08 19:00:00,M03,Night,190,9,56,95.26315789473684
2025-05-08 20:00:00,M03,Day,54,2,25,96.29629629629629
2025-05-08 21:00:00,M02,Day,123,1,19,99.1869918699187
2025-05-08 22:00:00,M03,Day,101,3,4,97.02970297029702
2025-05-08 23:00:00,M03,Night,126,0,19,100.0
2025-05-09 00:00:00,M01,Night,159,2,13,98.74213836477988
2025-05-09 01:00:00,M03,Night,192,8,44,95.83333333333334
2025-05-09 02:00:00,M03,Day,155,6,13,96.12903225806451
2025-05-09 03:00:00,M02,Day,176,6,7,96.5909090909091
2025-05-09 04:00:00,M02,Night,56,0,47,100.0
2025-05-09 05:00:00,M04,Night,89,6,12,93.25842696629213
2025-05-09 06:00:00,M01,Night,148,9,23,93.91891891891892
2025-05-09 07:00:00,M03,Night,192,6,14,96.875
2025-05-09 08:00:00,M03,Night,134,3,50,97.76119402985076
2025-05-09 09:00:00,M04,Day,114,6,0,94.73684210526315
2025-05-09 10:00:00,M03,Day,181,7,21,96.13259668508287
2025-05-09 11:00:00,M01,Day,60,2,33,96.66666666666667
2025-05-09 12:00:00,M04,Night,157,9,49,94.26751592356688
2025-05-09 13:00:00,M01,Day,75,1,50,98.66666666666667
2025-05-09 14:00:00,M04,Day,134,6,39,95.52238805970148
2025-05-09 15:00:00,M04,Day,172,4,2,97.67441860465115
2025-05-09 16:00:00,M02,Day,193,4,54,97.92746113989638
2025-05-09 17:00:00,M01,Day,117,4,25,96.58119658119658
2025-05-09 18:00:00,M03,Night,153,6,13,96.07843137254902
2025-05-09 19:00:00,M03,Day,129,8,57,93.7984496124031
2025-05-09 20:00:00,M01,Night,102,7,40,93.13725490196079
2025-05-09 21:00:00,M03,Night,155,5,7,96.7741935483871
2025-05-09 22:00:00,M03,Night,93,6,48,93.54838709677419
2025-05-09 23:00:00,M01,Night,189,8,54,95.76719576719577
2025-05-10 00:00:00,M04,Night,139,5,54,96.40287769784173
2025-05-10 01:00:00,M01,Day,150,0,55,100.0
2025-05-10 02:00:00,M04,Day,146,3,15,97.94520547945206
2025-05-10 03:00:00,M03,Night,58,7,41,87.93103448275862
2025-05-10 04:00:00,M03,Night,61,6,20,90.1639344262295
2025-05-10 05:00:00,M03,Night,118,2,9,98.30508474576271
2025-05-10 06:00:00,M02,Day,77,9,56,88.31168831168831
2025-05-10 07:00:00,M04,Night,105,2,24,98.09523809523809
2025-05-10 08:00:00,M02,Day,148,2,55,98.64864864864865
2025-05-10 09:00:00,M02,Night,159,0,37,100.0
2025-05-10 10:00:00,M01,Day,126,9,21,92.85714285714286
2025-05-10 11:00:00,M02,Night,152,0,48,100.0
2025-05-10 12:00:00,M01,Day,155,5,47,96.7741935483871
2025-05-10 13:00:00,M01,Night,158,0,46,100.0
2025-05-10 14:00:00,M02,Day,161,4,53,97.51552795031056
2025-05-10 15:00:00,M04,Day,107,3,45,97.19626168224299
2025-05-10 16:00:00,M04,Day,127,4,3,96.8503937007874
2025-05-10 17:00:00,M04,Day,124,6,3,95.16129032258065
2025-05-10 18:00:00,M04,Day,91,5,29,94.5054945054945
2025-05-10 19:00:00,M04,Day,117,8,1,93.16239316239316
2025-05-10 20:00:00,M02,Day,82,5,28,93.90243902439023
2025-05-10 21:00:00,M02,Night,120,8,42,93.33333333333333
2025-05-10 22:00:00,M03,Night,105,3,35,97.14285714285714
2025-05-10 23:00:00,M04,Night,154,0,20,100.0
2025-05-11 00:00:00,M02,Night,150,0,59,100.0
2025-05-11 01:00:00,M03,Night,100,9,20,91.0
2025-05-11 02:00:00,M04,Day,123,6,47,95.1219512195122
2025-05-11 03:00:00,M01,Day,170,2,20,98.82352941176471
2025-05-11 04:00:00,M03,Day,192,1,3,99.47916666666666
2025-05-11 05:00:00,M02,Day,192,5,0,97.39583333333334
2025-05-11 06:00:00,M01,Day,54,5,25,90.74074074074075
2025-05-11 07:00:00,M01,Night,132,6,55,95.45454545454545
2025-05-11 08:00:00,M01,Night,100,4,50,96.0
2025-05-11 09:00:00,M03,Night,59,7,1,88.13559322033898
2025-05-11 10:00:00,M02,Night,189,6,8,96.82539682539682
2025-05-11 11:00:00,M01,Day,53,1,54,98.11320754716981
2025-05-11 12:00:00,M04,Day,144,0,56,100.0
2025-05-11 13:00:00,M01,Day,195,8,44,95.8974358974359
2025-05-11 14:00:00,M01,Night,129,4,17,96.89922480620154
2025-05-11 15:00:00,M03,Day,85,4,47,95.29411764705881
2025-05-11 16:00:00,M03,Night,74,9,47,87.83783783783784
2025-05-11 17:00:00,M02,Day,147,3,56,97.95918367346938
2025-05-11 18:00:00,M04,Day,150,1,41,99.33333333333333
2025-05-11 19:00:00,M03,Night,58,4,40,93.10344827586206
2025-05-11 20:00:00,M01,Day,110,1,10,99.0909090909091
2025-05-11 21:00:00,M02,Day,102,6,24,94.11764705882352
2025-05-11 22:00:00,M01,Night,195,8,25,95.8974358974359
2025-05-11 23:00:00,M01,Day,112,8,57,92.85714285714286
2025-05-12 00:00:00,M03,Night,170,5,35,97.05882352941177
2025-05-12 01:00:00,M02,Day,154,0,41,100.0
2025-05-12 02:00:00,M04,Day,53,5,34,90.56603773584906
2025-05-12 03:00:00,M04,Day,142,4,37,97.1830985915493
2025-05-12 04:00:00,M03,Day,77,3,2,96.1038961038961
2025-05-12 05:00:00,M03,Day,129,5,58,96.12403100775194
2025-05-12 06:00:00,M02,Day,125,5,40,96.0
2025-05-12 07:00:00,M04,Day,165,5,34,96.96969696969697
2025-05-12 08:00:00,M04,Day,118,1,49,99.15254237288136
2025-05-12 09:00:00,M04,Night,147,6,39,95.91836734693877
2025-05-12 10:00:00,M01,Night,50,3,21,94.0
2025-05-12 11:00:00,M04,Day,145,8,7,94.48275862068965
2025-05-12 12:00:00,M01,Day,66,9,14,86.36363636363636
2025-05-12 13:00:00,M02,Night,161,1,44,99.37888198757764
2025-05-12 14:00:00,M01,Day,140,4,6,97.14285714285714
2025-05-12 15:00:00,M02,Day,137,3,18,97.8102189781022
2025-05-12 16:00:00,M04,Night,139,8,39,94.24460431654677
2025-05-12 17:00:00,M04,Day,98,3,41,96.93877551020408
2025-05-12 18:00:00,M02,Day,87,7,16,91.95402298850574
2025-05-12 19:00:00,M03,Night,199,7,0,96.4824120603015
2025-05-12 20:00:00,M02,Day,181,5,44,97.23756906077348
2025-05-12 21:00:00,M03,Day,108,5,28,95.37037037037037
2025-05-12 22:00:00,M01,Night,117,7,57,94.01709401709401
2025-05-12 23:00:00,M01,Day,179,9,12,94.97206703910615
2025-05-13 00:00:00,M01,Night,98,8,55,91.83673469387756
2025-05-13 01:00:00,M04,Day,175,4,47,97.71428571428571
2025-05-13 02:00:00,M01,Day,160,0,28,100.0
2025-05-13 03:00:00,M03,Night,97,0,40,100.0
2025-05-13 04:00:00,M01,Night,100,1,41,99.0
2025-05-13 05:00:00,M02,Day,92,9,5,90.21739130434783
2025-05-13 06:00:00,M02,Night,147,9,4,93.87755102040816
2025-05-13 07:00:00,M04,Night,173,4,33,97.6878612716763
2025-05-13 08:00:00,M02,Day,129,3,10,97.67441860465115
2025-05-13 09:00:00,M03,Day,160,0,8,100.0
2025-05-13 10:00:00,M01,Day,192,3,37,98.4375
2025-05-13 11:00:00,M04,Night,76,3,39,96.05263157894737
2025-05-13 12:00:00,M01,Night,162,9,40,94.44444444444444
2025-05-13 13:00:00,M01,Night,135,3,8,97.77777777777777
2025-05-13 14:00:00,M03,Night,163,0,7,100.0
2025-05-13 15:00:00,M02,Day,173,8,43,95.37572254335261
2025-05-13 16:00:00,M02,Night,98,2,57,97.95918367346938
2025-05-13 17:00:00,M01,Day,125,3,39,97.6
2025-05-13 18:00:00,M04,Night,104,4,2,96.15384615384616
2025-05-13 19:00:00,M02,Day,105,6,12,94.28571428571428
2025-05-13 20:00:00,M04,Day,144,5,18,96.52777777777779
2025-05-13 21:00:00,M02,Day,93,4,33,95.6989247311828
2025-05-13 22:00:00,M04,Night,136,7,31,94.85294117647058
2025-05-13 23:00:00,M03,Day,133,0,48,100.0
2025-05-14 00:00:00,M04,Day,65,6,15,90.76923076923077
2025-05-14 01:00:00,M03,Night,198,5,35,97.47474747474747
2025-05-14 02:00:00,M03,Day,194,4,17,97.9381443298969
2025-05-14 03:00:00,M04,Night,86,6,13,93.02325581395348
2025-05-14 04:00:00,M03,Night,126,2,29,98.4126984126984
2025-05-14 05:00:00,M01,Day,196,0,1,100.0
2025-05-14 06:00:00,M03,Day,94,8,12,91.48936170212765
2025-05-14 07:00:00,M02,Night,195,1,26,99.48717948717949
2025-05-14 08:00:00,M04,Day,111,9,58,91.8918918918919
2025-05-14 09:00:00,M01,Night,149,2,52,98.65771812080537
2025-05-14 10:00:00,M04,Night,101,7,51,93.06930693069307
2025-05-14 11:00:00,M02,Night,68,9,16,86.76470588235294
2025-05-14 12:00:00,M02,Day,158,8,30,94.9367088607595
2025-05-14 13:00:00,M02,Night,93,2,14,97.84946236559139
2025-05-14 14:00:00,M03,Day,56,5,56,91.07142857142857
2025-05-14 15:00:00,M03,Day,166,6,19,96.3855421686747
2025-05-14 16:00:00,M04,Day,117,0,4,100.0
2025-05-14 17:00:00,M04,Day,83,6,6,92.7710843373494
2025-05-14 18:00:00,M01,Night,118,3,17,97.45762711864407
2025-05-14 19:00:00,M01,Day,104,4,55,96.15384615384616
2025-05-14 20:00:00,M04,Night,59,7,10,88.13559322033898
2025-05-14 21:00:00,M03,Night,91,3,31,96.7032967032967
2025-05-14 22:00:00,M02,Day,90,3,49,96.66666666666667
2025-05-14 23:00:00,M04,Night,171,7,26,95.90643274853801
2025-05-15 00:00:00,M01,Night,187,4,25,97.86096256684492
2025-05-15 01:00:00,M03,Day,59,5,36,91.52542372881356
2025-05-15 02:00:00,M04,Night,151,4,44,97.35099337748345
2025-05-15 03:00:00,M04,Night,177,0,27,100.0
2025-05-15 04:00:00,M03,Night,198,6,49,96.96969696969697
2025-05-15 05:00:00,M04,Night,185,5,1,97.2972972972973
2025-05-15 06:00:00,M03,Day,141,1,19,99.29078014184397
2025-05-15 07:00:00,M02,Night,162,6,3,96.29629629629629
2025-05-15 08:00:00,M03,Night,127,5,12,96.06299212598425
2025-05-15 09:00:00,M03,Night,134,4,23,97.01492537313433
2025-05-15 10:00:00,M03,Night,79,7,47,91.13924050632912
2025-05-15 11:00:00,M04,Day,98,4,37,95.91836734693877
2025-05-15 12:00:00,M04,Night,58,1,57,98.27586206896551
2025-05-15 13:00:00,M03,Day,194,5,39,97.42268041237114
2025-05-15 14:00:00,M04,Night,118,0,47,100.0
2025-05-15 15:00:00,M01,Day,107,4,44,96.26168224299066
2025-05-15 16:00:00,M01,Day,111,5,54,95.4954954954955
2025-05-15 17:00:00,M04,Day,101,6,28,94.05940594059405
2025-05-15 18:00:00,M04,Day,89,1,57,98.87640449438202
2025-05-15 19:00:00,M03,Day,112,0,35,100.0
2025-05-15 20:00:00,M02,Night,196,5,1,97.44897959183673
2025-05-15 21:00:00,M04,Night,99,2,40,97.97979797979798
2025-05-15 22:00:00,M01,Night,190,4,17,97.89473684210527
2025-05-15 23:00:00,M03,Day,127,1,48,99.21259842519686
2025-05-16 00:00:00,M04,Night,146,0,7,100.0
2025-05-16 01:00:00,M01,Day,92,0,57,100.0
2025-05-16 02:00:00,M01,Day,85,3,14,96.47058823529412
2025-05-16 03:00:00,M02,Night,171,9,40,94.73684210526315
2025-05-16 04:00:00,M03,Night,157,1,16,99.36305732484077
2025-05-16 05:00:00,M03,Day,59,0,22,100.0
2025-05-16 06:00:00,M02,Day,144,5,1,96.52777777777779
2025-05-16 07:00:00,M02,Night,55,3,5,94.54545454545455
2025-05-16 08:00:00,M03,Night,106,9,28,91.50943396226415
2025-05-16 09:00:00,M03,Night,178,6,26,96.62921348314607
2025-05-16 10:00:00,M04,Night,120,5,36,95.83333333333334
2025-05-16 11:00:00,M04,Day,70,4,48,94.28571428571428
2025-05-16 12:00:00,M02,Night,141,9,33,93.61702127659575
2025-05-16 13:00:00,M04,Night,176,1,17,99.43181818181817
2025-05-16 14:00:00,M01,Night,129,4,41,96.89922480620154
2025-05-16 15:00:00,M04,Day,105,8,9,92.38095238095238
2025-05-16 16:00:00,M04,Day,165,8,37,95.15151515151516
2025-05-16 17:00:00,M01,Day,197,1,58,99.49238578680203
2025-05-16 18:00:00,M02,Day,74,6,43,91.8918918918919
2025-05-16 19:00:00,M01,Night,54,9,16,83.33333333333334
2025-05-16 20:00:00,M04,Day,169,3,58,98.22485207100591
2025-05-16 21:00:00,M02,Night,70,2,12,97.14285714285714
2025-05-16 22:00:00,M04,Night,67,0,51,100.0
2025-05-16 23:00:00,M01,Night,106,2,59,98.11320754716981
2025-05-17 00:00:00,M01,Night,142,8,47,94.36619718309859
2025-05-17 01:00:00,M04,Day,68,8,41,88.23529411764706
2025-05-17 02:00:00,M03,Day,177,6,26,96.61016949152543
2025-05-17 03:00:00,M03,Day,146,2,52,98.63013698630137
2025-05-17 04:00:00,M01,Night,180,2,1,98.88888888888889
2025-05-17 05:00:00,M01,Night,70,3,33,95.71428571428572
2025-05-17 06:00:00,M03,Night,89,6,30,93.25842696629213
2025-05-17 07:00:00,M03,Night,116,6,22,94.82758620689656
2025-05-17 08:00:00,M04,Night,176,1,6,99.43181818181817
2025-05-17 09:00:00,M04,Day,104,4,37,96.15384615384616
2025-05-17 10:00:00,M03,Night,158,6,32,96.20253164556962
2025-05-17 11:00:00,M04,Day,147,6,11,95.91836734693877
2025-05-17 12:00:00,M04,Night,161,5,44,96.8944099378882
2025-05-17 13:00:00,M02,Night,164,9,11,94.51219512195121
2025-05-17 14:00:00,M04,Day,166,9,18,94.57831325301204
2025-05-17 15:00:00,M01,Day,136,7,8,94.85294117647058
2025-05-17 16:00:00,M04,Night,130,2,9,98.46153846153847
2025-05-17 17:00:00,M04,Night,115,0,16,100.0
2025-05-17 18:00:00,M03,Night,68,2,49,97.05882352941177
2025-05-17 19:00:00,M01,Night,184,1,39,99.45652173913044
2025-05-17 20:00:00,M04,Day,167,1,38,99.40119760479041
2025-05-17 21:00:00,M04,Night,91,1,40,98.9010989010989
2025-05-17 22:00:00,M02,Day,91,4,9,95.6043956043956
2025-05-17 23:00:00,M04,Night,108,0,11,100.0
2025-05-18 00:00:00,M04,Day,69,9,14,86.95652173913044
2025-05-18 01:00:00,M02,Day,122,3,30,97.54098360655738
2025-05-18 02:00:00,M03,Night,66,9,14,86.36363636363636
2025-05-18 03:00:00,M04,Day,76,4,27,94.73684210526315
2025-05-18 04:00:00,M02,Night,51,1,3,98.0392156862745
2025-05-18 05:00:00,M01,Day,112,4,35,96.42857142857143
2025-05-18 06:00:00,M03,Night,111,9,54,91.8918918918919
2025-05-18 07:00:00,M01,Day,149,3,0,97.98657718120806
2025-05-18 08:00:00,M01,Night,68,7,57,89.70588235294117
2025-05-18 09:00:00,M02,Night,66,0,43,100.0
2025-05-18 10:00:00,M04,Day,118,4,56,96.61016949152543
2025-05-18 11:00:00,M02,Day,166,9,33,94.57831325301204
2025-05-18 12:00:00,M02,Day,130,0,46,100.0
2025-05-18 13:00:00,M02,Day,88,9,16,89.77272727272727
2025-05-18 14:00:00,M02,Night,85,9,38,89.41176470588236
2025-05-18 15:00:00,M03,Day,181,3,37,98.34254143646409
2025-05-18 16:00:00,M04,Night,78,7,43,91.02564102564102
2025-05-18 17:00:00,M01,Day,100,0,50,100.0
2025-05-18 18:00:00,M01,Night,63,1,32,98.4126984126984
2025-05-18 19:00:00,M04,Night,118,0,59,100.0
2025-05-18 20:00:00,M01,Night,195,6,20,96.92307692307692
